English Name,Local Name
Cree Woods (Syllabics),ᓀᐦᐃᖬᐁᐧᐃᐧᐣ
Crimean Tatar (Cyrillic),къырымтатар (кирилл)
Croatian,hrvatski
Cubeo,Cubeo
Curripaco,Curripaco
Czech,čeština
Dagaare,Dagaare
Dagbani,Dagbanli
Dakota,Dakota
Damara,Damara
Dangme,Dangme
Danish,Dansk
Dargwa,дарган
Dari,دری
Dayak Ahe,Dayak Ahe
Dayak Ngaju,Dayak Ngaju
Dayak Tomun,Dayak Tomun
Dendi,Dendi
Dengese,Londengese
Dida (Lakota),Dida (Lakota)
Digor,дигорон
Dinka,Dinka
Diola,Jóola
Ditammari,Ditammari
Dogon (Toro So),Dɔgɔn (Tɔrɔ Sɔ)
Douala,Douala
Drehu,Drehu
Dungan,Dungan
Dusun,Dusun
Dutch,Nederlands
Dutch (Belgium),Nederlands (België)
Dutch (Suriname),Nederlands (Suriname)
Dzongkha (Roman),Dzongkha (Roman)
Dzongkha (Tibetan),Dzongkha (Tibetan)
Ebira,Ebira
Edo,Edo
Efate (North),Efate (North)
Efate (South),Efate (South)
Efik,Efịk
Ejagham,Ejagham
Emberá (Catío),embera katio
Emberá (Chamí),ẽbẽra beɗea chamí
Emberá (Northern),Emberá dóbida
Enga,Enga
English,English
English (Nigeria),English (Nigeria)
English (Zambia),English (Zambia)
Erzya,эрзянь
Esan,Esan
Estonian,eesti
Eton,Iton
Ewe,Eʋegbe
Ewondo,Ewondo
Fang,Fang
Fante,Mfantse
Faroese,Føroyskt
Fataluku,Fataluku
Fe'fe',Bafang
Fijian,vakaViti
Finnish,suomi
Fon,Fɔngbe
Frafra,Farefare
French,Français
French (Benin),Français (Bénin)
French (Canada),Français (Canada)
Frisian,Frysk
Fulfulde (Cameroon),Fulfulde (Kamerun)
Fulfulde (Maasina),Fulfulde (Maasina)
Fulfulde (Nigerian),Fulfulde (Nigerian)
Futuna (East),Fakafutuna
Fwâi,Fwâi
Ga,Ga
Gagauz,гaгaуз
Gagauz (Roman),gagauz (latin)
Galician,Galego
Garhwali,गढ़वाली
Garifuna,Garifuna
Garo (Abeng),গারো (আবেং)
Garo (Achik),Garo (Achik)
Gbagyi,Gbagyi
Gbaya,Gbaya
Gedeo,Gede'uffa
Georgian,ქართული
German,Deutsch
Ghomálá’,Bandjoun-Baham
Giryama,Giryama
Gitonga,Gitonga
Gogo,Cigogo
Gokana,Gokana
Gourmanchéma,Gulmancema
Gouro,Goro
Grebo,Grebo
Greek,Ελληνική
Greenlandic,Kalaallisut
Greenlandic (East),Tunumiisut
Guadeloupean Creole,Kréyòl Gwadloup
Guahibo,guahibo
Guambiano,Namtrik
Guarani,guarani
Guarani (Bolivia),Guaraní boliviano
Guaraní (Mbyá),Guaraní (Mbyá)
Guarayu,Guarayu
Guayabero,jiw
Guerze,Kpɛlɛɛwoo
Guianese Creole,Kréyòl gwiyanè
Gujarati,ગુજરાતી
Gujarati (Roman),Gujarati (Roman)
Gun,Gungbe
Gun (Benin),Gun (Benin)
Guna,dule
Guyanese Creole English,Guyanese Creole English
Guéré,wɛ
Hadiyya,Hadiyya
Haitian Creole,Kreyòl ayisyen
Hakka (Indonesia),Cina Khek (Indonesia)
Hakka (Taiwan),客家話（台灣）
Halia,Halia
Hamshen (Armenian),համշեներեն (հայերեն)
Hamshen (Cyrillic),һамшенерен (кирилица)
Hano,Hano
Haryanvi,Haryanvi
Hausa,Hausa
Havu,Ekihavu
Hawaiian,ʻŌlelo Hawaiʻi
Hawai’i Pidgin,Hawai’i Pidgin
Hawu,Sabu
Haya,Ekihaya
Hebrew,עברית
Hehe,Kihehe
Herero,Otjiherero
Hiligaynon,Hiligaynon
Hindi,हिंदी
Hindi (Fiji),Hindi (Fiji)
Hindi (Roman),Hindi (Roman)
Hiri Motu,Hiri Motu
Hitnu,Jitnu
Hmong (Green),Moob Ntsuab
Hmong (White),Hmoob Dawb
Hopi,Hopi
Huastec (San Luis Potosi),tének
Huastec (Veracruz),tének de Veracruz
Huave (San Mateo del Mar),ombeayiiüts
Hula,Vula’a
Hungarian,magyar
Hunsrik,Hunsrik
Iaai,Iaai
Ibaloi,Ibaloi
Iban,Iban
Ibanag,Ibanag
Ibinda,Ibinda
Icelandic,íslenska
Idoma,Idoma
Ifugao,Ifugao
Igala,Igala
Igbo,Igbo
Igede,Igede
Ignaciano,Ignaciano
Ijaw,Ijaw
Iloko,Iloko
Inakeanon,Inakeanon
Indonesian,Indonesia
Inga,Inga
Inuktitut (Roman),Inuktitut
Inuktitut (Syllabics),ᐃᓄᒃᑎᑐᑦ (ᖃᓂᐅᔮᖅᐸᐃᑦ)
Irish,Gaeilge
Islander Creole English,San Andrés Creole
Isoko,Isoko
Italian,Italiano
Itawit,Itawit
Itsekiri,Itsekiri
Iu Mien,Iu-Mienh
Ivatan,Ivatan
Ixil,ixil
Jamaican Creole,Patwa
Japanese,日本語
Jarai,Jarai
Javanese,Jawa
Javanese (Eastern),Jawa Timur
Jejueo,제주어
Jiwaka,Jiwaka Yu
Jula,Jula
Kabardin-Cherkess,адыгэбзэ
Kabiye,Kabɩyɛ
Kabuverdianu,Kabuverdianu
Kabuverdianu (Barlaventu),Kabuverdianu (Barlaventu)
Kabyle,Taqbaylit
Kachin,Kachin
Kadavu,Kadavu
Kadazan,Kadazan
Kaingang,Kaingang
Kaiwá,Kaiwá
Kalanga (Botswana),Kalanga (Botswana)
Kalanga (Zimbabwe),Kalanga (Zimbabwe)
Kalenjin,Kalenjin
Kalmyk,хальмг
Kamayo,Kamayo
Kamba,Kikamba
Kambera,Kambera (Sumba Timur)
Kamwe,Kamwe
Kangri (Hamirpuri),कंगड़ी (हमीरपुरी)
Kankanaey,Kankanaey
Kannada,ಕನ್ನಡ
Kannada (Baraha Bhaashe),ಕನ್ನಡ (ಬರಹ ಭಾಷೆ)
Kanyok,Ciin-kanyok
Kapingamarangi,Kapingamarangi
Karachay-Balkar,къарачай-малкъар
Karakalpak,қарақалпақ
Karen (Pwo Northern),โผล่ง
Karen (Pwo Western),Karen (Pwo Western)
Karen (S'gaw),ကညီ(စှီၤ)ကျိာ်
Kasem,Kasem
Kashubian,kaszëbsczi
Kazakh,қазақ
Kazakh (Arabic),قازاق ٴتىلى (ارابشا جازۋى)
Kei,Kei
Kekchi,q’eqchi’
Kele,Lokele
Kemak,Kemak
Khakass,хакас
Khana,Khana
Khari Boli,Khari Boli
Khasi,Khasi
Khmer (Northern),ขแมร์เสียม
Kibala,Kibala
Kifulero,Kifuliiru
Kihemba,Kihemba
Kikaonde,Kikaonde
Kikongo,Kikongo
Kikongo ya Leta,Kikongo ya leta
Kikuyu,Gĩkũyũ
Kiluba,Kiluba
Kimanyanga,Kimanianga
Kimbundu,Kimbundu
Kinande,Kinande
Kinaray-a,Kinaray-a
Kinyakyusa,Kinyakyusa
Kinyarwanda,Ikinyarwanda
Kipende,Kipende
Kirghiz,кыргыз
Kiribati,Kiribati
Kirundi,Ikirundi
Kisi,Kisiei
Kisii,Kisii
Kisonge,Kisongye
Kituba,Kituba
Kokborok,Kokborok
Kokola,Kokola
Komi,коми
Komi-Permyak,коми-пермяцкӧй
Kongo,Kikongo (Rép. dém. du congo)
Konkani (Devanagari),कोंकणी (देवनागरी)
Konkani (Kannada),ಕೊಂಕಣಿ (ಕನ್ನಡ)
Konkani (Roman),Konkani (Romi)
Konkomba,Konkomba
Kono,Kono
Korean,한국어
Korean (China),조선어
Kosraean,Kosraean
Koti,Koti
Kpelle,Kpelle
Krio,Krio
Kryashen,керәшен татар
Kuanua,Tinata Tuna
Kuhane (Subiya),Kuhane (Subiya)
Kui,Kui
Kuman,Kuman
Kumyk,къумукъ
Kunama,Kunama
Kunda,Kunda
Kurdish Kurmanji,Kurdî (Kurmancî)
Kurdish Kurmanji (Caucasus),Kurdî Kurmancî (Kavkazûs)
Kurdish Kurmanji (Cyrillic),К′öрди Кöрманщи (Кирили)
Kurdish Sorani,کوردی سۆرانی
Kuria,Igikuria
Kurukh,Kurukh
Kusaal,Kusaal
Kutchi,કચ્છી
Kuvale (Mucubal),Kuvale (Mucubal)
Kuy,Kuy
Kwaio,Kwaio
Kwangali,Rukwangali
Kwanyama,Oshikwanyama
Kwara'ae,Kwara'ae
Kwasio,Kwasio
Kyangonde,Kyangonde
Ladin (Gardenese),Ladin de Gherdëina
Lahu,Laˇhuˍ hkawˇ
Lak,лакку
Lakota,Lakotiya
Lala-Bisa,Lala-Bisa
Lamba,Lamba
Lambadi,Lambadi
Lambya,Chilambya
Lango,Lango
Laotian,ລາວ
Lari,Kilari
Latgalian,Latgalīšu
Latvian,latviešu
Lauan,Lauan
Lega,Lega
Lele,Lele
Lenakel,Lenakel
Lendu,Baledha
Lenje,Cilenje
Lezgian,лезги
Lhukonzo,Lhukonzo
Liberian English,Liberian English
Limba (West-Central),Limba (West-Central)
Limbum,Limbum
Lingala,Lingala
Lingombe,Lingombe
Lisu,ꓡꓲ-ꓢꓴ
Lithuanian,lietuvių
Logo,Logoti
Lokaa,Lokaa
Lolo,Ilolo
Loma,Lɔɔma
Lomongo,Lɔmɔngɔ
Lomwe,Elomwe
Longuda,Longuda
Low German,Plautdietsch
Luchazi,Luchazi
Luganda,Luganda
Lugbara,Lugbara
Lunda,Lunda
Luo,Dholuo
Luvale,Luvale
Luxembourgish,Lëtzebuergesch
Maasai,Maasai
Macedonian,македонски
Macua,Emakhuwa
Macuata,Macuata
Macushi,Makusi
Madi,Madi
Madura,Madura
Mafa,Mafa
Maguindanao,Maguindanao
Mahorian (Roman),Shimaore (Alifuɓe)
Maithili,मैथिली
Makaa,Makaa
Makasae,Makasae
Makasae (Ossu),Makasae (Ossu)
Makhuwa-Marrevone,Makhuwa-Marrevone
Makhuwa-Meetto,Imakhuwa Imeetto
Makhuwa-Moniga,Makhuwa-Moniga
Makhuwa-Shirima,Makhuwa-Shirima
Makonde,Shimakonde
Malagasy,Malagasy
Malango,Malango
Malay,Melayu
Malay (Papuan),Malay (Papuan)
Malayalam,മലയാളം
Malayo,wiwa dumuna
Maltese,Malti
Mam,mam
Mamasa,Mamasa
Mambae (Aileu),Mambae (Aileu)
Mambae (Ainaro and Same),Mambae (Ainaro no Same)
Mambae (Ermera),Mambae (Ermera)
Mambwe-Lungu,Cimambwe-Lungu
Manado Malay,Manado
Mandeali,Mandeali
Mandinka,Mandinka
Mandja,Mandja
Mandjak,Manjaku
Mangareva,Mangareva
Mangbetu,Némangbetu
Maninkakan (Eastern),Mandingo
Manipuri,মৈতৈলোন্
Manipuri (Roman),Manipuri (Roman)
Mankanya,Mankanya
Mano,Maa
Mansi,маньси
Manyawa,Emanyawa
Maori,Te Reo Māori
Mapudungun,mapudungun
Maquiritari,Ye’kuana
Maragoli,Luragooli
Maranaw,Maranaw
Marathi,मराठी
Mari,марий
Mari (Hill),кырык мары
Marquesian (Hiva Oa),Marquisien (Hiva Oa)
Marquesian (Nuku Hiva),Marquisien (Nuku Hiva)
Marshallese,Kajin M̦ajel̦
Martiniquan Creole,Kréyol Matinik
Marwari,Marwari
Mashi,Mashi
Matengo,Kimatengo
Matses,Matses
Mauritian Creole,Kreol Morisien
Maya,maaya
Maya (Mopán),T'an
Mayangna,mayangna
Mayo,yoremnok'ki
Mazahua,jñatrjo
Mazatec (Huautla),énná
Mbala,Gimbala
Mbangala,Mbangala
Mbo,Mbo
Mbukushu,Thimbukushu
Mbum,Mbum
Mbunda,Mbunda
Medan Hokkien,Hokkien Medan
Medumba,Bangangté
Melpa,Melpa
Mende,Mɛnde
Mentawai,Mentawai
Meru,Kĩmĩĩrũ
Meta',Meta'
Mewari,Mewari
Min Nan (Quanzhou),闽南语（泉州）
Min Nan (Taiwan),閩南語（台灣）
Mingrelian,მარგალური
Miskito,miskitu
Mixe (North Central),ayuk
Mixtec (Costa),saʼan xiñi saví
Mixtec (Guerrero),tu’un sâví
Mixtec (Huajuapan),Tu̱ʼun ndaʼví
Mixtec (Tilantongo),ñutnuu
Mixtec (Tlaxiaco),saʼan savi
Mizo,Mizo
Mi’kmaq,Mi'kmaw
Mnong (Central),Bunong
Moba,Muaba
Mohawk,Kanienʼkéha
Mokilese,Mokilese
Moksha,мокшень
Mongolian,монгол
Mongolian (Traditional),Mongolian (Traditional)
Montenegrin,crnogorski
Moore,Moore
Moru,Moru
Motu,Motu
Moundang,Moundang
Moussey,Moussey
Mundari,Mundari
Myanmar,မြန်မာ
Nadi,Nadi
Nadroga,Nadroga
Naga (Angami),Naga (Angami)
Naga (Liangmai),Naga (Liangmai)
Naga (Rongmei),Naga (Rongmei)
Nagamese,Nagamese
Nahuatl (Central),náhuatl del centro
Nahuatl (Guerrero),náhuatl de guerrero
Nahuatl (Huasteca),náhuatl de la huasteca
Nahuatl (Northern Puebla),náhuatl del norte de Puebla
Nahuatl (Veracruz),náhuatl de Veracruz
Nama,ǀApakhoen gowab
Namakura,Namakura
Nambya,Nambya
Namosi-Naitasiri-Serua,Namosi-Naitasiri-Serua
Nancowry,Nancowry
Natügu,Natügu
Nauete,Nauete
Nauruan,Nauruan
Navajo,Diné Bizaad
Ndali,Ichindali
Ndau,Cindau
Ndau (Western),Ndau (Western)
Ndebele,IsiNdebele
Ndebele (Zimbabwe),Ndebele (Zimbabwe)
Ndonga,Oshindonga
Nenets,ненэцяʼ
Nenets (Forest),нешаӈ
Nengone,Nengone
Nepali,नेपाली
Newari,नेवारी
Ngabere,ngäbere
Ngambaye,Ngambay
Ngangela,Ngangela
Ngbaka,Ngbaka
Ngbandi (Northern),Ngbandi (ya Nɔrdi)
Ngiemboon,Ngiemboon
Ngigua (San Marcos Tlacoyalco),ngigua de San Marcos Tlacoyalco
Ngombale,Babadjou
Nhengatu,Nheengatu
Nias,Nias
Nicobarese,Nicobarese
Nigerian Pidgin,Nigerian Pidgin
Niuean,Faka-Niue
Nivaclé,nivaĉle
Njebi,Njebi
Nkoya,Nkoya
Northern Ojibwe (Roman),Anishinaabemowin
Northern Ojibwe (Syllabics),ᐊᓂᔑᓈᐯᒧᐎᓐ
Norwegian,Norsk
Nsenga (Mozambique),Chinsenga (Mozambique)
Nsenga (Zambia),Cinsenga
Nuer,Thok Nath
Nukumanu,Nukumanu
Nukuoro,Nukuoro
Numèè (Kwenyii),Kwényï
Nyaneka,Nyaneka
Nyelâyu,Nyelâyu
Nyiha,Nyiha
Nyungwe,Cinyungwe
Nzema,Nzema
Obolo,Obolo
Odawa,Nishnaabemwin
Odia,ଓଡ଼ିଆ
Okpe,Okpe
Olunyole,Olunyole
Ombamba,Ombamba
Orokaiva,Orokaiva
Oromo,Afaan Oromoo
Ossetian,ирон
Ossetian (Chsan),Ирон (чысайнаг)
Ossetian (Kudar),Ирон (къуыдайраг)
Otetela,Ɔtɛtɛla
Otomi (Eastern Highland),ñuhü
Otomi (Mezquital Valley),Ñañu
Otomi (State of Mexico),ñätho
O’odham (Tohono),O’odham
Pa'o,Pa'o
Paama,Paama
Paicî,Paicî
Paiwan,Payuan
Palauan,Palauan
Palikúr,Palikur
Pamona,Pamona
Pangasinan,Pangasinan
Papel,Oium
Papiamento (Aruba),Papiamento (Aruba)
Papiamento (Curaçao),Papiamentu (Kòrsou)
Pashto,پښتو
Pehuenche,chedungun (pewenche)
Pemon,pemon pe
Pennsylvania German,Pennsylvania Dutch (Deitsh)
Persian,فارسی
Phimbi,Chiphimbi
Phu Thai,ภูไท
Piaroa,huo̧ttö̧ja̧
Pidgin (Cameroon),Pidgin for Cameroon
Pidgin (West Africa),Pidgin (West Africa)
Pilagá,pilagá
Pitjantjatjara,Pitjantjatjara
Pohnpeian,Lokaiahn Pohnpei
Polish,polski
Pomeranian,Pomerisch
Popoluca (Highland),popoluca de la Sierra
Popti',poptí
Poqomchi',poqomchi'
Portuguese (Angola),Português (Angola)
Portuguese (Brazil),Português (Brasil)
Portuguese (Mozambique),Português (Moçambique)
Portuguese (Portugal),Português (Portugal)
Pular,Fula
Punjabi,ਪੰਜਾਬੀ
Punjabi (Roman),Punjabi (Roman)
Punjabi (Shahmukhi),پنجابی (شاہ مُکھی)
Punu,Punu
Puyuma,Pinuyumayan
Páez,nasa yuwe
Q'anjob'al,q'anjob'al
Quechua (Ancash),Quechua (Ancash)
Quechua (Ayacucho),Quechua (Ayacucho)
Quechua (Bolivia),Quechua (Bolivia)
Quechua (Cuzco),quechua (Cusco)
Quechua (Huallaga Huánuco),Quechua de Huánuco (Huallaga)
Quechua (Huaylla Wanca),quechua wanca
Quechua (Lambayeque),quechua (lambayeque)
Quiche,quiché
Quichua (Cañar),quichua (cañar)
Quichua (Chibuleo),quichua (chibuleo)
Quichua (Chimborazo),quichua (chimborazo)
Quichua (Cotopaxi),quichua (cotopaxi)
Quichua (Imbabura),quichua (imbabura)
Quichua (Pastaza),quichua (pastaza)
Quichua (Salasaca),quichua (salasaca)
Quichua (Santiago del Estero),quichua (Santiago del Estero)
Quichua (Tena),quichua (tena)
Ra,Ra
Rapa Nui,rapa nui
Rarotongan,Reo Rarotonga
Romanian,Română
Romanian (Vlach),rumunski (vlaški)
"Romanian (Vlach, Bačka)","rumunski (vlaški, Bačka)"
Romansh (Ladin),Rumantsch (Ladin)
Romansh (Sursilvan),romontsch (sursilvan)
Romany (Albania),rome (shqipëri)
Romany (Argentina),Romanes Kalderash
Romany (Arli),Romany (Arli)
Romany (Bosnia and Herzegovina),Romany (Bosnia and Herzegovina)
Romany (Central Bulgaria),ромски (централна България)
Romany (Chile),Romane Jorajane
Romany (Crimea),Романи (крымски)
Romany (Eastern Slovakia),romanes (vichodno Slovačiko)
Romany (France),Romanes (Manouche)
Romany (Germany),Romanes (Sinti)
"Romany (Kalderash, Russia)","хомани (котлярско, Хусыя)"
"Romany (Lovari, Chokeshi)","Романі (ловарі, чокещі)"
"Romany (Lovari, Hungary)","romani (lovári, Ungriko Them)"
Romany (Macedonia),romane (Makedonija)
Romany (Macedonia) Cyrillic,романе (Македонија) кирилица
Romany (Meçkar),Romany (Meçkar)
Romany (Moldova) Cyrillic,Романи (Молдова) кирилик
Romany (Northern Greece),Ρομανί (Βόρεια Ελλάδα)
Romany (Northern Russia),романы (русска рома)
Romany (Poland),romani (Polska Roma)
Romany (Romania),Rromani (România)
Romany (Serbia),Romane (Srbija)
Romany (Southern Greece),Ρομανί (Νότια Ελλάδα)
Romany (Ukraine),"Романі (ромунгри, Україна)"
"Romany (Vlax, Russia)","романи (влахитско, Россия)"
Romany (Western Bulgaria),ромски (западна България)
Ronga,Xironga
Rotuman,Rotuạm ta
Roviana,Roviana
Rukai,Drekay
Rumanyo,Rumanyo
Rungus,Momogun
Runyankore,Runyankore
Russian,русский
Rusyn (Carpathian),Закарпатська русинська
Rutoro,Rutoro
Réunion Creole,Kréol Rénioné
Saami (North),sámegiella (davvi)
Sadri (Devanagari),सादरी (देवनागरी)
Saint Lucian Creole,Kwéyòl (Patwa)
Sakalava,Sakalava
Saluan,Saluan
Samburu,Sampur
Samia,Samia
Samoan,Faa-Samoa
Sanga,Kisanga
Sangir,Sangir
Sango,Sango
Santhali (Devanagari),Santhali (Devanagari)
Santhali (Roman),Santhali (Roman)
Sar,Sar
Saramaccan,Saamakatöngö
Sarnami,Sarnami Hindoestani
Sasak,Sasak
Sateré-Mawé,Satere Mawe
Scottish Gaelic,Gàidhlig
Seediq,Seediq
Sehwi,Sehwi
Sena,Cisena
Senoufo (Cebaara),Senarì
Sepedi,Sepedi
Sepulana,Sepulana
Serbian (Cyrillic),српски (ћирилица)
Serbian (Roman),srpski (latinica)
Serer,Seereer
Sesotho (Lesotho),Sesotho (Lesotho)
Sesotho (South Africa),Sesotho (South Africa)
Setswana,Setswana
Seychelles Creole,Kreol Seselwa
Shan,Shan
Shawi,shawi
Shilluk,Dhøg Cøllø
Shipibo-Conibo,shipibo-conibo
Shona,Shona
Shuar,shuar
Shughni,шуғнонӣ
Sidama,Sidaamu Afoo
Silesian,jynzyk Ślónska Cieszyńskigo
Silozi,Silozi
Sindhi (Arabic),سِنڌي
Sindhi (Devanagari),Sindhi (Devanagari)
Sindhi (Indonesia),Sindhi (Indonesia)
Sinhala,සිංහල
Slovak,slovenčina
Slovenian,slovenščina
Soli,Cisoli
Solomon Islands Pidgin,Solomon Islands Pidgin
Somali,Soomaali
Songo,Songo
Songomeno,Losongomino
Soninke,Soninke
Spanish,español
Spanish (Spain),español (de España)
Sranantongo,Sranantongo
Sukuma,Kisukuma
Sunda,Sunda
Sundargadi,Sundargadi
Surigaonon,Surigaonon
Susu,Soso xui
Svan (Lower),ჩუბე ლუშვანუ
Svan (Upper),ჟიბე ლუშნუ
Swahili,Kiswahili
Swahili (Congo),Kiswahili (Congo)
Swahili (Katanga),Swahili (Katanga)
Swati,SiSwati
Swedish,Svenska
Swiss German,Schweizerdeutsch
Sylheti (Bengali),সেলেটি (বাংলা)
Sãotomense,Santome
Taabwa,Taabwa
Tabasaran,табасаран
Tagalog,Tagalog
Tahitian,Tahiti
Tairuma,Tairuma
Taita,Kidawida
Tajiki,тоҷикӣ
Tajiki (Samarkand),тоҷикӣ (Самарқанд)
Talian,Talian
Talysh,Toloş
Talysh (Cyrillic),Толош (кирил әлифба)
Tamang (Eastern),Tamang (Eastern)
Tamang (Western),Tamang (Western)
Tamazight,Tamazight
Tamil,தமிழ்
Tamil (Roman),Thamil (Rōman)
Tamil (Spoken),Tamil (Spoken)
Tandroy,Tandroy
Tangkhul,Tangkhul
